date,game_mode,region,map,tier,hero,role,pick_rate,win_rate
2026-03-16,quickplay,Europe,busan,All,D.Va,TANK,11.3,48.0
2026-03-16,quickplay,Europe,busan,All,겐지,DAMAGE,9.4,50.3
2026-03-16,quickplay,Europe,busan,All,도미나,TANK,8.9,50.7
2026-03-16,quickplay,Europe,busan,All,둠피스트,TANK,7.3,47.1
2026-03-16,quickplay,Europe,busan,All,라마트라,TANK,7.8,51.0
2026-03-16,quickplay,Europe,busan,All,라이프위버,SUPPORT,9.6,47.8
2026-03-16,quickplay,Europe,busan,All,라인하르트,TANK,11.1,53.4
2026-03-16,quickplay,Europe,busan,All,레킹볼,TANK,3.1,47.0
2026-03-16,quickplay,Europe,busan,All,로드호그,TANK,9.2,49.0
2026-03-16,quickplay,Europe,busan,All,루시우,SUPPORT,7.1,51.4
2026-03-16,quickplay,Europe,busan,All,리퍼,DAMAGE,9.9,52.5
2026-03-16,quickplay,Europe,busan,All,마우가,TANK,6.9,53.6
2026-03-16,quickplay,Europe,busan,All,메르시,SUPPORT,23.5,48.5
2026-03-16,quickplay,Europe,busan,All,메이,DAMAGE,9.0,54.1
2026-03-16,quickplay,Europe,busan,All,모이라,SUPPORT,22.5,51.2
2026-03-16,quickplay,Europe,busan,All,미즈키,SUPPORT,19.9,52.7
2026-03-16,quickplay,Europe,busan,All,바스티온,DAMAGE,13.0,49.5
2026-03-16,quickplay,Europe,busan,All,바티스트,SUPPORT,5.2,45.7
2026-03-16,quickplay,Europe,busan,All,벤데타,DAMAGE,12.3,51.4
2026-03-16,quickplay,Europe,busan,All,벤처,DAMAGE,2.9,50.5
2026-03-16,quickplay,Europe,busan,All,브리기테,SUPPORT,4.9,53.5
2026-03-16,quickplay,Europe,busan,All,소전,DAMAGE,8.2,45.6
2026-03-16,quickplay,Europe,busan,All,솔저: 76,DAMAGE,15.6,51.4
2026-03-16,quickplay,Europe,busan,All,솜브라,DAMAGE,6.5,47.5
2026-03-16,quickplay,Europe,busan,All,시그마,TANK,7.6,49.7
2026-03-16,quickplay,Europe,busan,All,시메트라,DAMAGE,2.7,55.5
2026-03-16,quickplay,Europe,busan,All,아나,SUPPORT,19.9,45.8
2026-03-16,quickplay,Europe,busan,All,안란,DAMAGE,13.5,50.5
2026-03-16,quickplay,Europe,busan,All,애쉬,DAMAGE,12.8,49.9
2026-03-16,quickplay,Europe,busan,All,에코,DAMAGE,5.1,49.3
2026-03-16,quickplay,Europe,busan,All,엠레,DAMAGE,14.8,50.2
2026-03-16,quickplay,Europe,busan,All,오리사,TANK,9.5,47.2
2026-03-16,quickplay,Europe,busan,All,우양,SUPPORT,9.7,50.1
2026-03-16,quickplay,Europe,busan,All,위도우메이커,DAMAGE,10.6,46.9
2026-03-16,quickplay,Europe,busan,All,윈스턴,TANK,4.2,51.6
2026-03-16,quickplay,Europe,busan,All,일리아리,SUPPORT,8.0,52.2
2026-03-16,quickplay,Europe,busan,All,자리야,TANK,4.6,49.1
2026-03-16,quickplay,Europe,busan,All,정커퀸,TANK,4.7,52.3
2026-03-16,quickplay,Europe,busan,All,정크랫,DAMAGE,8.9,47.8
2026-03-16,quickplay,Europe,busan,All,제트팩 캣,SUPPORT,14.9,49.9
2026-03-16,quickplay,Europe,busan,All,젠야타,SUPPORT,11.8,53.5
2026-03-16,quickplay,Europe,busan,All,주노,SUPPORT,18.5,52.1
2026-03-16,quickplay,Europe,busan,All,캐서디,DAMAGE,16.0,50.1
2026-03-16,quickplay,Europe,busan,All,키리코,SUPPORT,24.7,47.9
2026-03-16,quickplay,Europe,busan,All,토르비욘,DAMAGE,4.2,57.4
2026-03-16,quickplay,Europe,busan,All,트레이서,DAMAGE,5.5,48.8
2026-03-16,quickplay,Europe,busan,All,파라,DAMAGE,4.1,50.7
2026-03-16,quickplay,Europe,busan,All,프레야,DAMAGE,5.9,45.6
2026-03-16,quickplay,Europe,busan,All,한조,DAMAGE,9.1,47.9
2026-03-16,quickplay,Europe,busan,All,해저드,TANK,3.8,50.5
2026-03-16,quickplay,Europe,samoa,All,D.Va,TANK,9.4,45.9
2026-03-16,quickplay,Europe,samoa,All,겐지,DAMAGE,9.3,49.3
2026-03-16,quickplay,Europe,samoa,All,도미나,TANK,9.2,51.1
2026-03-16,quickplay,Europe,samoa,All,둠피스트,TANK,7.0,47.9
2026-03-16,quickplay,Europe,samoa,All,라마트라,TANK,7.7,50.5
2026-03-16,quickplay,Europe,samoa,All,라이프위버,SUPPORT,9.3,46.5
2026-03-16,quickplay,Europe,samoa,All,라인하르트,TANK,11.1,53.0
2026-03-16,quickplay,Europe,samoa,All,레킹볼,TANK,2.8,44.0
2026-03-16,quickplay,Europe,samoa,All,로드호그,TANK,9.3,49.6
2026-03-16,quickplay,Europe,samoa,All,루시우,SUPPORT,7.0,51.0
2026-03-16,quickplay,Europe,samoa,All,리퍼,DAMAGE,10.5,54.7
2026-03-16,quickplay,Europe,samoa,All,마우가,TANK,8.9,53.6
2026-03-16,quickplay,Europe,samoa,All,메르시,SUPPORT,22.8,48.0
2026-03-16,quickplay,Europe,samoa,All,메이,DAMAGE,9.3,54.7
2026-03-16,quickplay,Europe,samoa,All,모이라,SUPPORT,22.3,51.4
2026-03-16,quickplay,Europe,samoa,All,미즈키,SUPPORT,21.1,54.2
2026-03-16,quickplay,Europe,samoa,All,바스티온,DAMAGE,13.4,49.9
2026-03-16,quickplay,Europe,samoa,All,바티스트,SUPPORT,5.4,45.4
2026-03-16,quickplay,Europe,samoa,All,벤데타,DAMAGE,12.9,51.1
2026-03-16,quickplay,Europe,samoa,All,벤처,DAMAGE,3.2,51.6
2026-03-16,quickplay,Europe,samoa,All,브리기테,SUPPORT,5.2,52.7
2026-03-16,quickplay,Europe,samoa,All,소전,DAMAGE,8.4,45.6
2026-03-16,quickplay,Europe,samoa,All,솔저: 76,DAMAGE,15.0,50.6
2026-03-16,quickplay,Europe,samoa,All,솜브라,DAMAGE,6.2,48.2
2026-03-16,quickplay,Europe,samoa,All,시그마,TANK,8.0,50.2
2026-03-16,quickplay,Europe,samoa,All,시메트라,DAMAGE,3.0,58.4
2026-03-16,quickplay,Europe,samoa,All,아나,SUPPORT,20.1,46.0
2026-03-16,quickplay,Europe,samoa,All,안란,DAMAGE,14.5,50.5
2026-03-16,quickplay,Europe,samoa,All,애쉬,DAMAGE,12.1,48.3
2026-03-16,quickplay,Europe,samoa,All,에코,DAMAGE,5.1,49.8
2026-03-16,quickplay,Europe,samoa,All,엠레,DAMAGE,14.6,49.4
2026-03-16,quickplay,Europe,samoa,All,오리사,TANK,9.4,47.4
2026-03-16,quickplay,Europe,samoa,All,우양,SUPPORT,10.1,50.3
2026-03-16,quickplay,Europe,samoa,All,위도우메이커,DAMAGE,6.3,43.4
2026-03-16,quickplay,Europe,samoa,All,윈스턴,TANK,3.7,50.0
2026-03-16,quickplay,Europe,samoa,All,일리아리,SUPPORT,8.3,52.9
2026-03-16,quickplay,Europe,samoa,All,자리야,TANK,4.7,49.8
2026-03-16,quickplay,Europe,samoa,All,정커퀸,TANK,5.0,53.0
2026-03-16,quickplay,Europe,samoa,All,정크랫,DAMAGE,9.8,50.2
2026-03-16,quickplay,Europe,samoa,All,제트팩 캣,SUPPORT,14.9,49.7
2026-03-16,quickplay,Europe,samoa,All,젠야타,SUPPORT,11.8,53.6
2026-03-16,quickplay,Europe,samoa,All,주노,SUPPORT,17.9,52.2
2026-03-16,quickplay,Europe,samoa,All,캐서디,DAMAGE,16.9,49.3
2026-03-16,quickplay,Europe,samoa,All,키리코,SUPPORT,23.9,47.2
2026-03-16,quickplay,Europe,samoa,All,토르비욘,DAMAGE,4.5,57.7
2026-03-16,quickplay,Europe,samoa,All,트레이서,DAMAGE,6.0,49.3
2026-03-16,quickplay,Europe,samoa,All,파라,DAMAGE,4.3,51.6
2026-03-16,quickplay,Europe,samoa,All,프레야,DAMAGE,5.9,45.1
2026-03-16,quickplay,Europe,samoa,All,한조,DAMAGE,8.8,46.9
2026-03-16,quickplay,Europe,samoa,All,해저드,TANK,3.7,51.2
2026-03-16,quickplay,Europe,oasis,All,D.Va,TANK,9.6,46.7
2026-03-16,quickplay,Europe,oasis,All,겐지,DAMAGE,10.0,49.5
2026-03-16,quickplay,Europe,oasis,All,도미나,TANK,9.2,51.6
2026-03-16,quickplay,Europe,oasis,All,둠피스트,TANK,7.4,47.2
2026-03-16,quickplay,Europe,oasis,All,라마트라,TANK,7.6,49.4
2026-03-16,quickplay,Europe,oasis,All,라이프위버,SUPPORT,9.3,47.0
2026-03-16,quickplay,Europe,oasis,All,라인하르트,TANK,11.6,51.6
2026-03-16,quickplay,Europe,oasis,All,레킹볼,TANK,3.1,45.6
2026-03-16,quickplay,Europe,oasis,All,로드호그,TANK,9.6,50.2
2026-03-16,quickplay,Europe,oasis,All,루시우,SUPPORT,7.2,51.7
2026-03-16,quickplay,Europe,oasis,All,리퍼,DAMAGE,10.8,53.7
2026-03-16,quickplay,Europe,oasis,All,마우가,TANK,6.9,53.1
2026-03-16,quickplay,Europe,oasis,All,메르시,SUPPORT,23.7,48.1
2026-03-16,quickplay,Europe,oasis,All,메이,DAMAGE,9.3,52.7
2026-03-16,quickplay,Europe,oasis,All,모이라,SUPPORT,22.5,51.5
2026-03-16,quickplay,Europe,oasis,All,미즈키,SUPPORT,21.4,54.1
2026-03-16,quickplay,Europe,oasis,All,바스티온,DAMAGE,12.8,49.7
2026-03-16,quickplay,Europe,oasis,All,바티스트,SUPPORT,5.5,46.5
2026-03-16,quickplay,Europe,oasis,All,벤데타,DAMAGE,13.2,52.3
2026-03-16,quickplay,Europe,oasis,All,벤처,DAMAGE,3.2,51.2
2026-03-16,quickplay,Europe,oasis,All,브리기테,SUPPORT,5.2,52.1
2026-03-16,quickplay,Europe,oasis,All,소전,DAMAGE,8.4,44.8
2026-03-16,quickplay,Europe,oasis,All,솔저: 76,DAMAGE,15.2,49.6
2026-03-16,quickplay,Europe,oasis,All,솜브라,DAMAGE,6.1,48.3
2026-03-16,quickplay,Europe,oasis,All,시그마,TANK,7.7,51.2
2026-03-16,quickplay,Europe,oasis,All,시메트라,DAMAGE,3.3,55.8
2026-03-16,quickplay,Europe,oasis,All,아나,SUPPORT,19.6,45.7
2026-03-16,quickplay,Europe,oasis,All,안란,DAMAGE,14.2,50.5
2026-03-16,quickplay,Europe,oasis,All,애쉬,DAMAGE,10.9,47.7
2026-03-16,quickplay,Europe,oasis,All,에코,DAMAGE,5.2,49.4
2026-03-16,quickplay,Europe,oasis,All,엠레,DAMAGE,14.4,49.3
2026-03-16,quickplay,Europe,oasis,All,오리사,TANK,9.4,47.0
2026-03-16,quickplay,Europe,oasis,All,우양,SUPPORT,9.9,49.5
2026-03-16,quickplay,Europe,oasis,All,위도우메이커,DAMAGE,5.1,42.8
2026-03-16,quickplay,Europe,oasis,All,윈스턴,TANK,4.0,51.9
