date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-06-30,quickplay,Asia,lijiang-tower,All,파라,DAMAGE,9.1,56.4,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,프레야,DAMAGE,2.8,46.0,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,한조,DAMAGE,5.2,49.5,0.0
2026-06-30,quickplay,Asia,lijiang-tower,All,해저드,TANK,4.0,51.6,0.0
2026-06-30,quickplay,Asia,busan,All,D.Va,TANK,7.8,46.3,0.0
2026-06-30,quickplay,Asia,busan,All,겐지,DAMAGE,8.7,50.0,0.0
2026-06-30,quickplay,Asia,busan,All,도미나,TANK,5.2,51.1,0.0
2026-06-30,quickplay,Asia,busan,All,둠피스트,TANK,9.5,48.9,0.0
2026-06-30,quickplay,Asia,busan,All,라마트라,TANK,6.8,49.3,0.0
2026-06-30,quickplay,Asia,busan,All,라이프위버,SUPPORT,7.4,48.8,0.0
2026-06-30,quickplay,Asia,busan,All,라인하르트,TANK,9.9,54.0,0.0
2026-06-30,quickplay,Asia,busan,All,레킹볼,TANK,4.0,47.7,0.0
2026-06-30,quickplay,Asia,busan,All,로드호그,TANK,6.0,46.3,0.0
2026-06-30,quickplay,Asia,busan,All,루시우,SUPPORT,4.6,47.4,0.0
2026-06-30,quickplay,Asia,busan,All,리퍼,DAMAGE,6.7,48.3,0.0
2026-06-30,quickplay,Asia,busan,All,마우가,TANK,9.2,51.2,0.0
2026-06-30,quickplay,Asia,busan,All,메르시,SUPPORT,7.2,44.3,0.0
2026-06-30,quickplay,Asia,busan,All,메이,DAMAGE,6.3,53.7,0.0
2026-06-30,quickplay,Asia,busan,All,모이라,SUPPORT,23.8,53.3,0.0
2026-06-30,quickplay,Asia,busan,All,미즈키,SUPPORT,22.3,53.7,0.0
2026-06-30,quickplay,Asia,busan,All,바스티온,DAMAGE,7.1,49.0,0.0
2026-06-30,quickplay,Asia,busan,All,바티스트,SUPPORT,4.5,46.1,0.0
2026-06-30,quickplay,Asia,busan,All,벤데타,DAMAGE,3.2,49.8,0.0
2026-06-30,quickplay,Asia,busan,All,벤처,DAMAGE,1.7,53.0,0.0
2026-06-30,quickplay,Asia,busan,All,브리기테,SUPPORT,4.1,50.5,0.0
2026-06-30,quickplay,Asia,busan,All,소전,DAMAGE,9.3,45.1,0.0
2026-06-30,quickplay,Asia,busan,All,솔저: 76,DAMAGE,11.4,49.6,0.0
2026-06-30,quickplay,Asia,busan,All,솜브라,DAMAGE,4.3,47.1,0.0
2026-06-30,quickplay,Asia,busan,All,시그마,TANK,8.3,51.3,0.0
2026-06-30,quickplay,Asia,busan,All,시메트라,DAMAGE,2.2,55.3,0.0
2026-06-30,quickplay,Asia,busan,All,시에라,DAMAGE,14.7,50.0,0.0
2026-06-30,quickplay,Asia,busan,All,시온,DAMAGE,56.6,54.6,0.0
2026-06-30,quickplay,Asia,busan,All,아나,SUPPORT,35.7,46.0,0.0
2026-06-30,quickplay,Asia,busan,All,안란,DAMAGE,9.0,52.0,0.0
2026-06-30,quickplay,Asia,busan,All,애쉬,DAMAGE,5.9,49.7,0.0
2026-06-30,quickplay,Asia,busan,All,에코,DAMAGE,2.5,47.8,0.0
2026-06-30,quickplay,Asia,busan,All,엠레,DAMAGE,5.5,47.4,0.0
2026-06-30,quickplay,Asia,busan,All,오리사,TANK,11.5,47.0,0.0
2026-06-30,quickplay,Asia,busan,All,우양,SUPPORT,12.3,52.3,0.0
2026-06-30,quickplay,Asia,busan,All,위도우메이커,DAMAGE,3.3,46.5,0.0
2026-06-30,quickplay,Asia,busan,All,윈스턴,TANK,6.3,51.8,0.0
2026-06-30,quickplay,Asia,busan,All,일리아리,SUPPORT,4.4,49.7,0.0
2026-06-30,quickplay,Asia,busan,All,자리야,TANK,8.2,52.7,0.0
2026-06-30,quickplay,Asia,busan,All,정커퀸,TANK,3.1,52.3,0.0
2026-06-30,quickplay,Asia,busan,All,정크랫,DAMAGE,5.1,49.6,0.0
2026-06-30,quickplay,Asia,busan,All,제트팩 캣,SUPPORT,5.5,50.1,0.0
2026-06-30,quickplay,Asia,busan,All,젠야타,SUPPORT,11.0,53.1,0.0
2026-06-30,quickplay,Asia,busan,All,주노,SUPPORT,11.7,50.4,0.0
2026-06-30,quickplay,Asia,busan,All,캐서디,DAMAGE,16.9,48.8,0.0
2026-06-30,quickplay,Asia,busan,All,키리코,SUPPORT,45.6,49.1,0.0
2026-06-30,quickplay,Asia,busan,All,토르비욘,DAMAGE,2.2,56.3,0.0
2026-06-30,quickplay,Asia,busan,All,트레이서,DAMAGE,5.8,46.9,0.0
2026-06-30,quickplay,Asia,busan,All,파라,DAMAGE,3.6,48.9,0.0
2026-06-30,quickplay,Asia,busan,All,프레야,DAMAGE,3.0,47.0,0.0
2026-06-30,quickplay,Asia,busan,All,한조,DAMAGE,5.0,47.3,0.0
2026-06-30,quickplay,Asia,busan,All,해저드,TANK,4.2,51.6,0.0
2026-06-30,quickplay,Asia,samoa,All,D.Va,TANK,5.3,44.9,0.0
2026-06-30,quickplay,Asia,samoa,All,겐지,DAMAGE,8.0,50.3,0.0
2026-06-30,quickplay,Asia,samoa,All,도미나,TANK,5.6,51.0,0.0
2026-06-30,quickplay,Asia,samoa,All,둠피스트,TANK,9.1,49.7,0.0
2026-06-30,quickplay,Asia,samoa,All,라마트라,TANK,7.3,48.8,0.0
2026-06-30,quickplay,Asia,samoa,All,라이프위버,SUPPORT,7.5,48.0,0.0
2026-06-30,quickplay,Asia,samoa,All,라인하르트,TANK,10.2,53.1,0.0
2026-06-30,quickplay,Asia,samoa,All,레킹볼,TANK,3.6,44.8,0.0
2026-06-30,quickplay,Asia,samoa,All,로드호그,TANK,6.0,46.8,0.0
2026-06-30,quickplay,Asia,samoa,All,루시우,SUPPORT,4.3,48.2,0.0
2026-06-30,quickplay,Asia,samoa,All,리퍼,DAMAGE,7.3,49.8,0.0
2026-06-30,quickplay,Asia,samoa,All,마우가,TANK,11.3,52.0,0.0
2026-06-30,quickplay,Asia,samoa,All,메르시,SUPPORT,6.2,45.1,0.0
2026-06-30,quickplay,Asia,samoa,All,메이,DAMAGE,7.0,53.4,0.0
2026-06-30,quickplay,Asia,samoa,All,모이라,SUPPORT,23.7,54.1,0.0
