date,game_mode,region,map,tier,hero,role,pick_rate,win_rate,ban_rate
2026-05-17,quickplay,Americas,nepal,All,벤데타,DAMAGE,6.2,48.5,0.0
2026-05-17,quickplay,Americas,nepal,All,벤처,DAMAGE,4.0,53.3,0.0
2026-05-17,quickplay,Americas,nepal,All,브리기테,SUPPORT,8.5,55.6,0.0
2026-05-17,quickplay,Americas,nepal,All,소전,DAMAGE,6.3,43.8,0.0
2026-05-17,quickplay,Americas,nepal,All,솔저: 76,DAMAGE,11.8,49.0,0.0
2026-05-17,quickplay,Americas,nepal,All,솜브라,DAMAGE,5.0,46.9,0.0
2026-05-17,quickplay,Americas,nepal,All,시그마,TANK,6.1,50.4,0.0
2026-05-17,quickplay,Americas,nepal,All,시메트라,DAMAGE,4.0,58.0,0.0
2026-05-17,quickplay,Americas,nepal,All,시에라,DAMAGE,25.7,52.1,0.0
2026-05-17,quickplay,Americas,nepal,All,아나,SUPPORT,25.1,46.1,0.0
2026-05-17,quickplay,Americas,nepal,All,안란,DAMAGE,14.0,51.0,0.0
2026-05-17,quickplay,Americas,nepal,All,애쉬,DAMAGE,9.0,46.9,0.0
2026-05-17,quickplay,Americas,nepal,All,에코,DAMAGE,5.8,49.2,0.0
2026-05-17,quickplay,Americas,nepal,All,엠레,DAMAGE,8.8,46.5,0.0
2026-05-17,quickplay,Americas,nepal,All,오리사,TANK,10.0,47.6,0.0
2026-05-17,quickplay,Americas,nepal,All,우양,SUPPORT,9.2,50.2,0.0
2026-05-17,quickplay,Americas,nepal,All,위도우메이커,DAMAGE,3.6,42.7,0.0
2026-05-17,quickplay,Americas,nepal,All,윈스턴,TANK,3.7,51.5,0.0
2026-05-17,quickplay,Americas,nepal,All,일리아리,SUPPORT,6.1,50.5,0.0
2026-05-17,quickplay,Americas,nepal,All,자리야,TANK,4.8,46.8,0.0
2026-05-17,quickplay,Americas,nepal,All,정커퀸,TANK,5.7,53.3,0.0
2026-05-17,quickplay,Americas,nepal,All,정크랫,DAMAGE,11.7,52.6,0.0
2026-05-17,quickplay,Americas,nepal,All,제트팩 캣,SUPPORT,9.9,51.2,0.0
2026-05-17,quickplay,Americas,nepal,All,젠야타,SUPPORT,10.4,54.2,0.0
2026-05-17,quickplay,Americas,nepal,All,주노,SUPPORT,19.6,49.5,0.0
2026-05-17,quickplay,Americas,nepal,All,캐서디,DAMAGE,15.0,47.5,0.0
2026-05-17,quickplay,Americas,nepal,All,키리코,SUPPORT,20.8,47.3,0.0
2026-05-17,quickplay,Americas,nepal,All,토르비욘,DAMAGE,4.2,57.5,0.0
2026-05-17,quickplay,Americas,nepal,All,트레이서,DAMAGE,6.3,48.5,0.0
2026-05-17,quickplay,Americas,nepal,All,파라,DAMAGE,4.8,54.8,0.0
2026-05-17,quickplay,Americas,nepal,All,프레야,DAMAGE,4.9,45.1,0.0
2026-05-17,quickplay,Americas,nepal,All,한조,DAMAGE,7.0,48.9,0.0
2026-05-17,quickplay,Americas,nepal,All,해저드,TANK,4.3,52.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,D.Va,TANK,7.9,45.4,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,겐지,DAMAGE,13.3,51.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,도미나,TANK,10.4,51.6,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,둠피스트,TANK,9.3,50.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,라마트라,TANK,10.2,50.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,라이프위버,SUPPORT,14.4,48.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,라인하르트,TANK,10.2,55.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,레킹볼,TANK,3.7,49.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,로드호그,TANK,8.5,46.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,루시우,SUPPORT,12.2,54.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,리퍼,DAMAGE,9.9,53.4,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,마우가,TANK,6.4,51.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,메르시,SUPPORT,25.7,49.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,메이,DAMAGE,7.1,50.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,모이라,SUPPORT,20.3,50.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,미즈키,SUPPORT,13.9,52.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,바스티온,DAMAGE,10.8,47.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,바티스트,SUPPORT,4.7,46.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,벤데타,DAMAGE,6.0,50.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,벤처,DAMAGE,4.0,53.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,브리기테,SUPPORT,8.4,55.2,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,소전,DAMAGE,6.6,45.5,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,솔저: 76,DAMAGE,11.2,47.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,솜브라,DAMAGE,4.7,46.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,시그마,TANK,5.7,49.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,시메트라,DAMAGE,4.2,58.6,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,시에라,DAMAGE,25.0,52.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,아나,SUPPORT,24.7,45.2,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,안란,DAMAGE,13.9,51.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,애쉬,DAMAGE,8.5,47.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,에코,DAMAGE,6.1,47.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,엠레,DAMAGE,8.5,45.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,오리사,TANK,9.6,46.8,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,우양,SUPPORT,8.9,49.6,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,위도우메이커,DAMAGE,3.5,42.4,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,윈스턴,TANK,3.8,52.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,일리아리,SUPPORT,5.8,51.0,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,자리야,TANK,4.7,47.3,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,정커퀸,TANK,5.5,52.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,정크랫,DAMAGE,11.6,51.1,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,제트팩 캣,SUPPORT,11.2,51.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,젠야타,SUPPORT,9.6,52.7,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,주노,SUPPORT,19.7,50.6,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,캐서디,DAMAGE,15.6,47.6,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,키리코,SUPPORT,20.4,47.2,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,토르비욘,DAMAGE,3.9,55.4,0.0
2026-05-17,quickplay,Americas,lijiang-tower,All,트레이서,DAMAGE,6.8,48.5,0.0
